,title,Categorie,collect,town,Pourcentage Raised,Creation Date,Description,NumberDonors
0,aider arta se soigner du cancer,"Medical, Illness & Healing","€1,457 raised of €50,000                    ",Annecy,2.9%,Created 3 days ago,"APPEL A L'AIDEChers amis, camarades, humanistes, famille, j'ai besoin d'une aide financière. Ma femme Arta Bajraktari -Temaj depuis août 2020 a reçu un diagnostic de lymphome marginal - ZONE MARGINAL NON HODGKYN LYMPHOME.De novembre 2020 à avril 2021, il a été traité par chimiothérapie dans un hôpital en Turquie, mais après les derniers examens que nous avons en Turquie et à l'UCCK, les médecins ont conclu que la maladie était réapparue et maintenant, selon les médecins, une greffe doit être fait de toute urgence. de la moelle épinière.Le traitement de greffe sera effectué à l'hôpital Medical Park d'Istanbul alors que le montant requis est de 75 000 euros.Jusqu'à présent, nous avons eu un soutien de 30%, du Fonds d'assurance maladie de la République du Kosovo, tandis que l'autre le reste doit être fourni par nous-mêmes.En cas d'impossibilité de fournir la cette somme je sollicite vôtre aide les amis , famille, humanistes, personnes de bonne volonté qui autant que vous pouvez nous aider à réunir la somme nécessaire pour un traitement à l'étranger.Merci beaucoup.Avec respect:Ekrem BajraktariRead more",44
1,soutien ffs pour simone,"Medical, Illness & Healing","€1,952 raised of €1,900                    ",Aubervilliers,100%,"Created January 8, 2022","{*english below*}Ce 18 janvier, je célèbre mes 34 ans.Il va de soi que comme beaucoup de personnes précaires et/ou dans l’évènementiel, ces deux dernières années de ma vie ont été particulièrement affectées par lE Covid. D’une part car je n’avais plus de travail (donc de revenus), ni de domicile fixe.D’autre part, car je n’avais plus accès à mes chirurgies plastiques initialement prévues pour avril 2020.Après beaucoup de persévérance et de patience accompagnées de votre soutien sans faille, j’ai pu enfin retrouver un certain équilibre ces derniers mois.Je vous en suis infiniment reconnaissante aujourd’hui.Malheureusement 2022 s’annonce à nouveau périlleux et le gouvernement nous place dans une position critique que nous allons devoir affronter une fois de plus.Le 06 décembre 2021, Castex annonçait la fermeture des clubs dès le 10 décembre: Ce qui m'a valu un déficit de 1700€ lié à une ParkingStone urgemment reportée à la veille des nouvelles restrictions.La Club Visage du 15 janvier au Chinois dédiée au financement de ma future chirurgie a dû être annulée.Ma première date en tant que résidente à la Gaîté Lyrique prévue le 29 janvier va être reportée à mi mars et la Club Visage de février au Sample est désormais grandement remise en question.Ces 4 évènements devaient m’assurer le financement de ma prochaine opération prévue le 18 février 2022 avec le chirurgien Jean-Brice Duron.Grâce à une précédente édition Club Visage, 4000€ ont déjà pu être récoltés pour cette intervention. Le coût total de la chirurgie revient à 9250€ mais je me dois de recueillir pour le jour J la somme de 5900€. C’est donc pour cela que je fais appel à votre soutien aujourd'hui, quel qu’il soit, une dernière fois, afin de m'assurer cette prochaine étape chirurgicale.Ces 1900€ me permettront d’évincer une 7ème annulation au bloc opératoire et me préserveront de la violence psychologique que cela engendre.Je financerai par la suite l’intégralité du reste de mes chirurgies par mes propres moyens sans avoir recours à de nouvelles collectes de fonds car j’estime que beaucoup de mes sœurs et frères en ont autant besoin que moi.Un grand merci à vous toustes du fond du coeur. Toute forme de contribution, de partage ou d'attention de votre part seront plus que bienvenus.Avec tout mon respect pour chacun.e d’entre vous,Kisses and Love,Simone~~~~~~~~~~~~~~~~~~*On January 18, I’ll be celebrating my 34th birthday.It comes without saying that, just like many precarious persons and / or in the event business, the last two years of my life have been particularly affected by Covid.On the one hand because I did not have a job (and thus no income), nor a stable home.On the other because I could not access the surgeries initially planned for April 2020.After a lot of patience and perseverance, and with your unflinching support, I was finally able to get back to a certain balance these past months.I still feel extremely grateful to you to this day.Unfortunately, 2022 turns out to be perilous as well and the government is putting us in a critical position that we will all have to cope with once again.The shutting down of clubs from December 10 cost me a 1700€ deficit since I had to reschedule the ParkingStone party to the 9th.Club Visage, originally planned at Le Chinois on January 15 to raise funds for my future surgery, has been canceled.My first event as a Gaîté Lyrique resident on January 29 is postponed to March, and February’s Club Visage at Le Sample is now being greatly challenged.These 4 events were supposed to gather the necessary funds for my next operation with surgeon Jean-Brice Duron on the 18th of february 2022.Thanks to a previous Club Visage edition, I was already able to collect 4000€. The total cost of this procedure is 9250€, but I need to pay 5900€ on the day. This is the reason why I’m calling today for any kind of support, one last time, to be able to secure this next surgical step.These 1900€ will allow me to avoid yet another (7th) cancelation and preserve me from the psychological violence it engenders.In the future, I will use my own resources to finance the remaining surgeries without resorting to another fundraiser since I believe many of my sisters & brothers need them as much as I do.A huge thank you from the bottom of my heart. Any kind of contribution, sharing or attention from your part are more than welcome.With all my respect for each and every one of you,Kisses and Love,SimoneRead more",61
2,help a mom in coma wake up again,"Medical, Illness & Healing","€6,065 raised of €1                    ",Metz,100%,"Created January 11, 2022","Your support is needed !A Mum of six, 58 years old is in a deep coma.She is hospitalized following a heart attack that occurred on the 2nd of January 2022. The brain has taken the most damage due to the lack of oxygen. The current doctors are unable to find a solution, only the Will of God and your help can save her to be treated by neurological specialists. Last year was harsh but she won the fights against breast cancer and COVID. Today in this battle, she needs us.She is a vibrant, intelligent, generous, caring woman who always looked out after her family and those around her.Thank you for reading about her and helping with anything.All your efforts and donations will be greatly appreciated.Above all, the best weapons to assist her in this fight is to share this messages and above all your prayers❤️God bless you all,Her loving family -----------------------------------------------------------Votre soutien est nécessaire !Notre maman est dans un coma profond.Elle est hospitalisée suite à une crise cardiaque survenue le 2 janvier 2022. Par manque prolongé d'oxygène, son cerveau ne répond plus. Les médecins actuels sont incapables de trouver une solution. Seul votre soutien peut nous aider à la sauver pour qu'elle soit soignée par des spécialistes en neurologie.L'année dernière a été difficile mais elle a remporté ses combats contre le cancer du sein et la COVID. Aujourd'hui, dans cette bataille, elle a besoin de nous.Chaque action peut faire une différence.Tous vos efforts et vos dons seront grandement appréciés.Merci et s'il vous plait partagez un maximum ❤️Sa famille -----------------------------------------------------------                                                                                               ،السلام عليكم ورحمة الله وبركاته                                                                                                                                             ! دعمكم مطلوبأمي الغالـــية، أمّي الحبيبة، لؤلؤة البحار، قلبي، نور حياتي، مرضت ودخلت في غيبوبة عميقة. تبلغ من العمر 58 عاما.يوم 2 يناير 2022، تم إدخالها إلى المستشفى بعد نوبة قلبية وقد أصيب الدماغ بقدر كبير من الضرر بسبب نقص الأكسجينوللاسف فإن الأطباء عجزوا على إيجاد حل طبيبعون من الله ثم بمساعدتكم يمكن أن ننقذها ليتم معالجتها من قبلأخصائيي الأعصابCOVIDلقد كان العام الماضي قاسياً لكنها تجاوزت معارك عديدة ضد سرطان الثدي واليوم في هذه المعركة هي بحاجة إلينا جميعًا. إنها امرأة نابضة بالحياة، ذكية، كريمة، من أهل القرآن وتهتم دائمًا بأسرتها ومن حولهانعم الأعمار بين يدي الله وسلاح المؤمن الدعاء. فلذا، أرجو منكم الدعاء لوالدتي بالشفاء العاجل ومساعدتكم بالقليل او الكثير عبر هذا الرابط ❤️بارك الله فيكم جميعا و دمتم في رعاية الله وحفظهعائلتهاRead more",130
3,aidez gladys pour un ultime traitement,"Medical, Illness & Healing","€5,207 raised of €100,000                    ",Héricy,5.2%,"Created January 14, 2022","«Tout le monde est faible devant la souffrance Alors je cache ma souffrance pour qu’elle disparaisse »Première alerte en 1998, tumeur au rein gauche qui m’a value l’ablation de celui-ci Récidive en 2014 deuxième rein atteint, nouveau combat qui perdure depuis lors.La force, c’est de pouvoir regarder la douleur en face, lui sourire et continuer malgré ses coups à se tenir debout.Arrêt thérapeutique, car plus d’espoir……..Puis une lueur d’espoir en Allemagne Debout je veux rester Aidez-moi« Everyone is weak in the face of suffering So I hide my suffering, then it disappears»First alert in 1998, left kidney tumor that brought me the ablation of this oneRecidivism in 2014 second kidney affected, new fight that continues since then.The strength is to be able to look at the pain in the face, smile at it and continue despite its blows to stand.Therapeutic discontinuation, because no more hope……...Then a glimmer of hope in GermanyStand up I want to stayHelp meRead more",50
4,aidez donner naima une autre chance de vie,"Medical, Illness & Healing","€630 raised of €110,000                    ",Marseille,1.0%,"Created January 14, 2022","Bonjour à tous Nous sollicitons votre générosité pour notre collègue et amie  Dr. Naïmatou Moussa, femme leader en santé mondialeNaima  lutte contre le lymphome de Hodgkin (un cancer du système lymphatique) depuis 3 ans. Malgré son état, elle a continué à s'occuper d'autres patients comme  médecin dans une clinique locale à Thiès (Sénégal).Aujourd’hui, Naima  est dans un état critique. Cependant elle peut encore récupérer si elle reçoit le bon traitement, indisponible sur place au Sénégal.Sur les conseils de ses médecins, Naima doit se rendre à l'étranger pour bénéficier d’une greffe, seule chance de guérison à ce stade.L’amie et la sœur pour qui nous collectons des fonds est une femme  très énergique qui, en tant que médecin, se bat toujours pour la santé et le développement des autres femmes. Elle est un membre actif du réseau Femme leader en santé mondiale Afrique Francophone avec plusieurs rôles :•	Chargée de communication pour les sections Women in Global Health Afrique de l'Ouest francophone et Sénégal•	Responsable du chapitre Femmes dans la Santé Globale Togo.•	Elle est également membre du Togo émergent AHAFA.D’origine Togolaise et travaillant au Sénégal, Naima est maman d’une petite fille de 4 ans. Le coût du traitement est évalué à 110 000 €, que ce soit en Turquie ou au Maroc (traitement et logistique), pays les plus accessibles en terme de qualité du traitementVotre aide est donc nécessaire pour atteindre notre objectif de 110 000 €.Faites un don aujourd'hui et « Aidez à donner à Naima une autre chance de vivre »Vous ne faites pas qu'un don, vous éclairez la vie d'une femme, d'une famille, d'une communauté, d'une nation !Read more",19
5,ajuda za de jova pa tratamento na dakar,"Medical, Illness & Healing","€820 raised of €2,000                    ",Mont-Saint-Martin,41.0%,"Created January 11, 2022","Cagnotte pa Ajuda Za de Jova  Tudo nos nu sabi ma Cabo Verde ca teni infraestrutura médica adequada  pa ajuda Za nes situação e familias sozinho ca tem condiçoes suficiente, por isso nu ta pide pa tudo alguem poi mo nem si é pouco já é um grande ajuda pa el.si problema é:Etiriodes na Garganta Mancha na CoraçãoRead more",23
6,there is a can in cancer imed also can beat it,"Medical, Illness & Healing","€13,927 raised of €46,000                    ",Nogent-sur-Marne,30.3%,"Created December 26, 2021","""Once you choose hope, every thing is possible""(English version bellow)Ceci est une tentative de collecte de fond (voir devis en pièce jointe) pour tenter de sauver un proche atteint du cancer.IMED est papa d'une petite fille qui représente tout ce qu'il y a de beau dans sa vie.C'est une personne pleine de vie qui a un grand coeur et qui a toujours aider l'autre.Aujourd'hui il a besoin de notre aide à tous!IMED est atteint d'un cancer au Pancréas, un cancer violent, court et rare.Après de longues séances de Chimio et de Radio, les médecins nous réclament une intervention chirurgicaleobligatoire dans un centre spécialisé en France pour espérer combattre sa maladie.Sa vie et celle de ses proches est une course contre la montre, car il faut que IMED ait les bons traitements avant que le cancer ne se propage.Il faut que nous réussissions à lui enlever cette maladie si dangereuse tant qu'il en est encore temps d'agir.Toute la famille d'IMED vie dans une angoisse permanente.Un simple like ou partage pourrait sauver sa vie.---------------------------------------This is an attempt to raise funds (see attached invoice) in order to save a loved one who has a cancer.IMED is the father of a little girl to whom he means a lot.He is a person full of life who has a big heart and who always helps others.Today he needs your help!IMED has pancreatic cancer, a violent, fast spreading, and rare cancer.After long sessions of chemo and radio, the doctors are asking us for a surgical intervention in a specialised center in France to hope to fight his disease.His life and that of those close to him is a race against time, because IMED must have the right treatments before the cancer spreads.We must succeed in removing this dangerous disease from him while there is still time to act.The whole family of IMED comes in constant anguish.A simple like or share may save his life.Read more",123
7,aidez arielle pour son opration,"Medical, Illness & Healing","€375 raised of €5,000                    ",Orléans,7.5%,Created 7 days ago,"Nous sollicitons votre aide pour sauver la jeune Arielle Mboughou.Arielle souffre d’une dilatation pulmonaire depuis plusieurs années et son état s’est empiré. Elle est actuellement sous assistance respiratoire au CHU d’Angondjé (Gabon). Elle a besoin, dans l’urgence, de payer les frais d'hospitalisation afin d'être évacuée le plus tôt en France et bénéficier d’une greffe de poumon.Le coût de cette intervention s’élève à 50.000 €, soit environs 33.000.000 Fcfa.Nous appelons donc à la mobilisation de toutes les forces vives pour contribuer à cette cagnotte et permettre une opération rapide pour Arielle.Read more",15
8,aidez moi galoper 4 pattes au lieu de rouler,"Medical, Illness & Healing","€1,765 raised of €5,000                    ",Goussainville,35.3%,"Created December 9, 2021","Bonjour et merci de m'avoir lu,Je suis une jeune fille en fauteuil roulant avec un problème moteur (paralysie cérébrale : c'est une maladie survenu lors d'un manque d'oxygène durant ma venue au monde)... le seul sport que je tolère est l'équitation.Disons que monter à cheval, c'est comme avoir une extension de mon corps et pouvoir courir avec cet être majestueux.D'ici peu de temps je souhaiterais avec votre aide (même minime 1 euro) m'acheter un cheval et je suis ouverte à tout don pour réaliser mon rêve d'enfance : avoir mon propre cheval et galoper avec au lieu de rouler avec mon fauteuil .Je vous avoue que j'ai eu beaucoup de mal à ouvrir cette cagnotte car je préfère me financer par mes moyens mais je me suis dit que peut-être avec des personnes au grand cœur ce sera plus facile et plus rapide car en économisant dès maintenant j'en aurais minimum pour 3 ans.Par ailleurs j'ai mis cette annonce dans Santé car faire de l'équitation m'est bénéfique, cela fait travailler mes muscles endormis quand je suis en fauteuil,Comptant sur votre gentillesse et merci d'avance quel que soit le montant ❤Aysel PEKERRead more",52
9,association angel parisbasak,"Medical, Illness & Healing","€2,106 raised of €100,000                    ",Le Raincy,2.1%,"Created December 7, 2021","L’association a pour but de :- Lancer des missions humanitaire en France et à l’international en faveur des enfants ;- Soutenir les enfants atteints de maladies rares, comme les enfants atteints de SMA, à se faire soigner ;- Accompagner les enfants issues de familles monoparentales ou démunies ;- Organiser des événements à destination des enfantsVous pouvez consulter notre page Instagram pour découvrir toutes les actions menées dans ce cadre : https://www.instagram.com/angel_association_paris/L'association ANGEL PARIS lance cette campagne dans le cadre de notre soutien à l'enfant BASAK. BASAK  est une petite princesse de 13 mois atteinte d'une maladie rare et mortelle, (SMA, l’amyotrophie spinale, type 1), qui affecte les cellules nerveuses motrices de la moelle épinière, l'empêchant de marcher, de manger ou de respirer.Un traitement existe : Le Zolgensma, (médicament le plus cher au monde), il coûte 2 millions d'euros ! C'est pour l'instant, le seul traitement efficace pour soigner l'amyotrophie spinale, le traitement est donné à l’enfant avec une injection et une seule dose est suffisante.Basak doit accéder le plus rapidement possible à son traitement,  le Zolgensma ne pourra pas lui être administré si elle dépasse le seuil des 13 kg. Plus le vaccin lui est administré, plus elle aura des chances de se remettre vite et sans séquelles de cette maladie génétique. Basak a besoin de vos dons pour recevoir ce traitement, pour rester en vie et pouvoir marcher et courir un jour !Chaque jour compte, car chaque jour sans recevoir ce traitement, ce sont des pertes de neurones ! TOUS ENSEMBLE, NOUS POUVONS SAUVER BASAK !Elle perd des compétences musculaires chaque jour et un jour, elle ne pourra plus respirer seul pendant son sommeil. Nous voulons la sauver. Nous devons la sauver.Nous ne pouvions pas rester indifférents face à la détresse de ce bébé et de cette famille, c’est la raison pour laquelle nous avons lancé cette cagnotte. Voici son rapport médical :Quel que soit le montant, chacun peut participer !Vous pouvez nous contacter via notre page Facebook : https://www.facebook.com/angel.association.parisOU Instragram : https://www.instagram.com/angel_association_paris/Vous pouvez aussi suivre la campagne internationale de BASAK sur Instagram : https://www.instagram.com/sma_basagaumutol/Si vous ne pouvez pas participer financièrement, partagez cette cagnotte autour de vous au maximum svp. MERCI !Read more",69
