,Categorie,town,Pourcentage Raised,Creation Date,NumberDonors,Duration in days,Short_description,Amount collected ,Amount targeted,MeanDonation,categoryNumeric,townNumeric,size
0,"Medical, Illness & Healing",Mont-Saint-Martin,41.0,2022-01-11,23,19,"['Cagnotte', 'Ajuda', 'Verde', 'infraestrutura', 'médica', 'adequada', 'ajuda', 'situação', 'familias', 'sozinho', 'condiçoes', 'suficiente', 'alguem', 'pouco', 'grande', 'ajuda', 'el.si', 'problema', 'Etiriodes', 'Garganta', 'Mancha', 'CoraçãoRead']",820.0,2000.0,35.65217391304348,1,6,2
1,"Medical, Illness & Healing",Orléans,7.5,2022-01-17,15,13,"['sollicitons', 'votre', 'sauver', 'jeune', 'Arielle', 'Mboughou.Arielle', 'souffre', 'dilatation', 'pulmonaire', 'depuis', 'plusieurs', 'années', 'empiré', 'actuellement', 'assistance', 'respiratoire', 'Angondjé', 'Gabon', 'besoin', 'urgence', 'payer', 'frais', ""d'hospitalisation"", ""d'être"", 'évacuée', 'France', 'bénéficier', 'greffe', 'poumon.Le', 'cette', 'intervention', 'élève', '50.000', 'environs', '33.000.000', 'Fcfa.Nous', 'appelons', 'mobilisation', 'toutes', 'forces', 'vives', 'contribuer', 'cette', 'cagnotte', 'permettre', 'opération', 'rapide', 'Arielle.Read']",375.0,5000.0,25.0,1,8,3
2,"Medical, Illness & Healing",Montcusel,83.8,2021-12-09,46,52,"['Bonjour', 'Julie', 'heureuse', 'maman', 'garçons', 'Notre', 'petit', 'dernier', 'brachycephalie', 'malformations', 'écart', 'plagiocephalie', '8.86mmCe', 'nécessite', 'soins', 'médicaux', 'devoir', 'porter', 'casque', 'pendant', 'quelque', 'voilà', 'chere', 'rembourer', 'charge', 'sécurité', 'sociale', 'allons', 'essayer', 'frapper', 'toute', 'portes', 'possible', 'inimaginable', 'essayer', ""d'avoir"", 'potentiellement', 'aides', 'pouvoir', 'financer', 'financier', '1600€', 'compter', 'frais', 'kilométriques', 'suivi', 'semaines', 'notre', 'domicile', 'penser', 'cette', 'cagnotte', ""l'espoir"", 'récolter', 'notre', 'remercie', ""d'avanceJulie""]",1340.0,1600.0,29.130434782608695,1,17,2
3,"Medical, Illness & Healing",Saint-Jouvent,25.1,2022-01-06,19,24,"['Bonjour', ""m'appelle"", 'Axelle', 'femme', 'transgenre', 'vivant', 'campagne', 'petite', 'habitation', 'autonome', 'conjoint', 'pleins', ""d'animaux"", 'terrain', 'agricole.Nous', 'dévellopons', 'activité', 'maraichère', 'depuis', 'tirons', 'aucun', 'revenus', 'moment.Pourquoi', 'cette', 'cagnotte', 'Cette', 'cagnotte', ""m'aiderai"", 'financer', 'chirurgie', 'réassignation', 'sexuelle', 'CRS/SRS', 'Thaïlande', 'supprimer', 'dysphorie', 'génitale.Je', 'correspond', 'identité', 'cause', 'soucis', 'sévère', 'dysphorie', 'Pourquoi', 'Thaïlande', 'Thaïlande', 'regroupe', 'chirurgiens', 'réputés', 'monde', 'entier', 'tarifs', 'parmi', ""d'attente.Pour"", 'effectuer', 'chirurgie', 'France', 'suivie', 'psychiatrique', 'délais', 'chirurgiens', 'assez', 'chirurgien', 'quand', 'chirurgien', 'contacté', 'Chettawut', 'Bangkok', 'Novembre', ""l'année"", 'dernière', 'avons', 'convenu', 'comme', ""d'opération"", 'novembre', ""L'opération"", 'durer', 'environ', 'heures', 'devoir', 'rester', 'Thailande', 'immobilisée', 'jours.Le', ""L'opération"", 'coûte', 'après', 'conversion', 'environ', 'euroLe', 'billet', ""d'avion"", 'coûte', 'minimum', 'aller', 'retour', 'conjointL', 'hôtel', 'environ', 'jours', 'coûter', 'environ', 'eurosVisas', 'passeport', 'consultation', 'place', 'interprète', 'Français', 'assurance', 'COVID', 'sûrement', ""d'autres"", 'dépenses', 'prévu', 'marge', 'totale', 'eurosFinancement', 'avons', 'donné', 'acompte', 'bloquer', 'euroNous', 'avons', 'réussis', 'avoir', ""l'opérationMa"", 'grand', 'soutient', 'annoncé', ""qu'elle"", ""m'aiderai"", 'hôtel', 'totale', 'manque', 'théorie.Je', 'remercie', ""d'avoir"", 'temps', 'merci', 'celles', 'soutienne', 'parcours', 'insta', 'Axelle.ElsaRead']",1255.0,5000.0,66.05263157894737,1,21,3
4,"Medical, Illness & Healing",Marseille,6.6,2022-01-21,10,9,"['Bonjour', 'aider', 'oncle', 'algerie', 'pouvoir', 'procurer', 'médicament', 'contre', 'cancer', 'avancer', 'éliminer', 'douleur', 'maximum', 'essayer', 'prolonger', 'maximum.Si', 'pouvez', 'aider', 'maxNom', 'médicament', 'CABOZANTINIBRead']",465.0,7000.0,46.5,1,5,3
5,"Medical, Illness & Healing",Paris,52.7,2022-01-12,29,18,"['Marta', 'student', 'Paris', 'trying', 'finish', 'manuscript', 'March', 'suffered', 'severe', 'Covid19', 'pneumonia', 'embolism', 'myocarditis', 'risking', 'heart', 'failure', 'suffered', 'multiple', 'severe', 'sequelae', 'started', 'going', 'better', 'later', 'diagnosed', 'massive', 'problems', 'perfusion', 'micro-vascular', 'damage', 'immune', 'vasculitis', 'abnormal', 'clotting', 'severe', 'arthritis', 'problems', 'vision', 'cognitive', 'problems', 'various', 'doctors', 'Italy', 'France', 'prescribed', 'various', 'inflammatory', 'drugs', 'anti-coagulants', 'helped', 'recover', 'personal', 'experience', 'vaccines', 'helped', 'totally', 'recovered', 'better', 'Since', 'September', 'insufficient', 'unemployement', 'salary', 'savings', 'little', 'little', 'months', 'order', 'finish', 'another', 'little', 'family', 'medical', 'month', 'face:380', 'euros', 'University', 'because', 'January', 'informed', 'application', 'exoneration', 'rejected610', 'euros', 'because', 'accident', 'computer', 'reparations', 'computer100', 'euros', 'dataI', 'January', 'other', 'important', 'medical', 'immunological', 'assessment', 'biopsy', 'reactivation', 'virus', 'always', 'post-covid', 'condition', 'These', 'really', 'possibilities', 'friends', 'online', 'community', 'especially', 'covid', 'community', 'understands', 'little', 'follow', 'hopefully', 'following', 'recover', 'finish', 'job.The', 'fundings', 'raised', 'campaign', 'cover', 'these', 'extra', 'concerning', 'month', 'January', '2022.Thanks', 'attention.MartaRead']",761.0,1500.0,26.24137931034483,1,19,2
6,"Medical, Illness & Healing",Strasbourg,32.6,2021-11-01,66,90,"['Bonjour', 'lance', 'cagnotte', 'besoin', ""d'aide"", 'arriverai', ""D'ici"", 'quelques', 'temps', ""j'aurai"", 'recours', 'mastectomie', 'frais', 'pourrai', 'couvrir', ""s'élèvent"", '4000€', 'somme', 'compliquée', 'économiser', 'situation', 'Cette', 'opération', ""qu'un"", ""qu'une"", 'envie', 'nécessité', 'débarrasser', 'corps', ""n'est"", 'mien.Ma', 'santé', 'dégrade', 'problèmes', 'respiration', 'douleurs', 'chroniques', 'côtes', 'épaules', 'après', 'longues', 'années', 'porter', 'binder', 'chaque', 'cacher', 'poitrine', 'corps', ""J'arrive"", 'point', ""n'arrive"", 'sortir', 'choses', 'simples', 'comme', 'faire', 'sport', 'travailler', 'ami.es', 'deviennent', 'épuisantes', ""Aujourd'hui"", ""qu'une"", 'seule', 'issue', 'problème', ""c'est"", 'cette', 'opération', 'temps', 'compté', 'pense', 'chaque', 'constamment', 'seulement', 'moyens', ""m'éloignent"", 'corps', 'changera', 'moindre', 'partage', 'toucherait', 'infiniment', 'Merci', 'coeur', '♥️Read']",1302.0,4000.0,19.727272727272727,1,24,3
7,"Medical, Illness & Healing",Bully,70.5,2021-12-20,12,41,"['Bonjour', 'Ambassadrice', 'CAC-Climbers', 'Against', 'Cancer', 'France', 'victime', 'vol.Tout', 'stock', 'shirts', 'débardeurs', 'bonnets', 'tours', 'pris.Nous', 'revendons', 'articles', 'récolter', 'fonds', 'recherche', 'contre', 'cancer', 'vente', 'stock', 'aurait', 'permis', 'récolter', 'milliers', ""d'euros"", ""C'est"", 'désolant', 'rendre', 'compte', 'voleurs', 'pourront', 'faire', ""grand'chose"", ""'butin"", 'vêtements', 'marque', 'connaissent', 'notre', 'association', ""n'auront"", 'raison', 'particulière', 'acheter.Nous', 'avons', ""d'espoir"", 'retrouver', 'stock', 'besoin', ""d'être"", 'renouvelé', 'futurs', 'événements', 'valeur', 'vénale', 'auquel', ""l'association"", 'achète', 'articles', 'certes', 'moindre', 'vente', 'néanmoins', 'considérable', 'nous.Nous', 'appelons', 'votre', 'générosité', 'pouvez', 'donner', 'petit', 'quelque', 'chose', 'aider', 'remplacer', 'partie', 'pourrions', 'continuer', 'soutenir', 'recherche', '2022.Merci', 'partager', 'appel', 'aussi', 'largement', 'possible', 'attendant', 'renouveler', 'stock', 'France', 'pouvez', 'passer', 'commande', 'directement', 'www.climbersagainstcancer.org.Avec', 'remerciements', 'votre', 'solidarité.Sheila', 'McCarronpour', 'Climbers', 'Against', 'CancerRead']",705.0,1000.0,58.75,1,26,2
8,"Medical, Illness & Healing",Vieux-Reng,12.9,2022-01-18,6,12,"['todos', 'marroquí', 'sufrió', 'quemaduras', 'graves', 'tiene', 'operarse', 'madre', 'estuvo', 'ingresada', 'hospital', 'tiempo', 'luego', 'sacaron', 'necesita', 'operación', 'padres', 'tienen', 'dinero', 'suficiente', 'poder', 'pagarlo', 'Vendieron', 'tenían', 'valor', 'llega', 'pagar', 'operación', 'Entonces', 'madre', 'comunico', 'pedir', 'ayuda', 'ayuda', 'vosotros', 'ayudar', 'pobre', 'padres.Bonjour', 'garçon', 'marocain', 'graves', 'brûlures', 'opéré', 'était', ""l'hôpital"", 'pendant', 'certain', 'temps', ""l'ont"", 'sorti', 'parce', ""qu'il"", 'avait', 'besoin', ""d'une"", 'opération', 'parents', ""n'avaient"", 'assez', ""d'argent"", 'payer', 'Alors', 'contacté', 'mienne', 'demander', ""l'aide"", 'demande', 'votre', 'aider', 'pauvre', 'enfant', 'parentsRead']",90.0,700.0,15.0,1,27,1
9,"Medical, Illness & Healing",Tourcoing,100.0,2021-11-14,16,77,['BonjourRead'],285.0,1.0,17.8125,1,28,1
